304白鐵大鼎2尺4,1 ,"2,940 ","2,940 ",單據號碼055
大小五金(林內50人份煮飯鍋),2 ,"4,800 ","9,600 ",
24四角盆,5 ,30 ,150 ,
彈力水桶34CM,5 ,65 ,325 ,
彈力水桶40CM,1 ,105 ,105 ,
ST刀架,4 ,40 ,160 ,
K-400滑輪整理箱,2 ,210 ,420 ,
大小五金(櫃台後小型水槽),1 ,500 ,500 ,
鋁鍋蓋2尺4,1 ,255 ,255 ,
折讓,1 ,-705,-705 ,
40立發泡茶桶-金,1 ,"2,060 ","2,060 ",單據號碼043
304白大鼎2尺4,1 ,"2,940 ","2,940 ",
1:1油鍋16公分,3 ,100 ,300 ,
ST水桶34CM,2 ,350 ,700 ,
ST水桶32CM,1 ,320 ,320 ,
打蛋盆40CM,3 ,330 ,990 ,
打蛋盆36CM,3 ,260 ,780 ,
304極厚內鍋-10人,3 ,145 ,435 ,
餐飲專用網墊-中,2 ,85 ,170 ,
廟品中深方盤,1 ,100 ,100 ,
廟品中深方盤,1 ,100 ,100 ,
合木柄中校靴,3 ,55 ,165 ,
合木柄中漏杓,5 ,65 ,325 ,
三五加大木柄煎匙,1 ,160 ,160 ,
木柄廣煎匙-尺6,2 ,75 ,150 ,
ST漏盆1尺9,2 ,"1,300 ","2,600 ",
ST腳桶尺9,2 ,970 ,"1,940 ",
12CM-口杯,1 ,65 ,65 ,
量杯1000C.C.,1 ,35 ,35 ,
量杯100C.C.,1 ,10 ,10 ,
合柄菜匙-長,3 ,20 ,60 ,
名仕電子點火槍-G08,3 ,30 ,90 ,
折讓,1 ,-695,-695 ,
大小五金(飯鍋內鍋),1 ,"1,550 ","1,550 ",單據號碼045
