藍-長防水魚裙 H帶9007,3 ,105 ,315 ,
紅-長防水魚裙 H帶9007,7 ,105 ,735 ,
魔力環砧板-家用-黃,2 ,264 ,528 ,
甜心自助托盤-黑(PP),10 ,53 ,530 ,
密林550(豐裕),1 ,49 ,49 ,
強化耐衝密林500,3 ,70 ,210 ,
密林450(豐裕),1 ,38 ,38 ,
密林380(豐裕),5 ,31 ,155 ,
公文林380(豐裕),1 ,22 ,22 ,
深盆300(豐裕),1 ,24 ,24 ,
冷水壺百合特大5000CC,3 ,137 ,411 ,
大自然飯巾110*110CM,6 ,38 ,228 ,
26CM牛奶匙,3 ,25 ,75 ,
76364廚房剪刀25CM,3 ,325 ,975 ,
看板-營業中準備中,1 ,254 ,254 ,
微波保鮮盒2.3LB32,6 ,189 ,"1,134 ",
#3 打蛋盆 40CM,3 ,296 ,888 ,
50人專用不沾飯匙,2 ,47 ,94 ,
#3 菜盆20CM,1 ,65 ,65 ,
ST魚皿 12寸 深,1 ,104 ,104 ,
茶盤網墊-大,2 ,110 ,220 ,
金馬∙大深方盤,1 ,136 ,136 ,
金馬∙大深方盤,1 ,136 ,136 ,
"24""帳單夾(銀)",3 ,260 ,780 ,
#3 糖水桶16CM-手提(厚),1 ,203 ,203 ,
"#4 ST梅花夾""23.5CM",10 ,38 ,380 ,
油匙 大 6.8CM*22.5CM,2 ,10 ,20 ,
ST胡椒罐(大),2 ,72 ,144 ,
佳味胡椒罐,2 ,11 ,22 ,
彩色牙千罐(2入),1 ,23 ,23 ,
中糖味罐 9CM,1 ,70 ,70 ,
ST S吊勾8入(大),1 ,51 ,51 ,
名片架,1 ,60 ,60 ,
王樣日式開瓶器,1 ,46 ,46 ,
加長柄水杓20CM,2 ,156 ,312 ,
白鐵 大水杓21CM,2 ,57 ,114 ,
木柄大菜匙(長)漏,4 ,20 ,80 ,
白鐵飯笠1尺,2 ,221 ,442 ,
厚雙炮網杓特號,1 ,116 ,116 ,
木材菜剟6*7,1 ,95 ,95 ,
5號超級密杓(6兩),1 ,120 ,120 ,
手工杓6,1 ,149 ,149 ,
打蛋器(掛孔)25CM,1 ,180 ,180 ,
不銹鋼網杓-中,1 ,120 ,120 ,
"15""梅花夾(厚)",3 ,80 ,240 ,
鋁肉鎚-大,3 ,85 ,255 ,
木砧板36,4 ,273 ,"1,092 ",
24CM婦品高鍋-7.9L(售完改賣),2 ,312 ,624 ,
白鐵漏盆-尺1,20 ,168 ,"3,360 ",
#304 面盆尺1,25 ,160 ,"4,000 ",
強化耐衝公文林600,20 ,85 ,"1,700 ",
新式600收納盒(咖啡色),15 ,240 ,"3,600 ",
